time_seconds,active_workers,occupied_cells,entropy_bits,entropy_normalized,max_concentration,congested_cells,workers_in_shared_cells,excess_workers,method,timestamp
1245.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 08:02:45
1250.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 08:02:50
1255.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 08:02:55
1260.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 08:03:00
1265.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 08:03:05
1270.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 08:03:10
1275.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 08:03:15
1280.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 08:03:20
1285.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 08:03:25
1290.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 08:03:30
1295.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 08:03:35
1300.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 08:03:40
1305.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 08:03:45
1310.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 08:03:50
1315.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 08:03:55
1320.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 08:04:00
1325.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 08:04:05
1330.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 08:04:10
1335.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 08:04:15
1340.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 08:04:20
1345.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 08:04:25
1350.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 08:04:30
1355.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 08:04:35
1360.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 08:04:40
1365.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 08:04:45
1370.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 08:04:50
1375.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 08:04:55
1380.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 08:05:00
1385.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 08:05:05
1390.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 08:05:10
1395.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 08:05:15
1400.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 08:05:20
1405.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 08:05:25
1410.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 08:05:30
1415.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 08:05:35
1420.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 08:05:40
1425.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 08:05:45
1430.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 08:05:50
1435.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 08:05:55
1440.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 08:06:00
1445.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 08:06:05
1450.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 08:06:10
1455.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 08:06:15
1460.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 08:06:20
1465.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 08:06:25
1470.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 08:06:30
1475.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 08:06:35
1480.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 08:06:40
1485.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 08:06:45
1490.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 08:06:50
1495.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 08:06:55
1500.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 08:07:00
1505.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 08:07:05
1510.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 08:07:10
1515.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 08:07:15
1520.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 08:07:20
1525.0,2,1,0.0,0.0,1.0,1,2,1,random,2023-01-05 08:07:25
1530.0,2,1,0.0,0.0,1.0,1,2,1,random,2023-01-05 08:07:30
1535.0,2,1,0.0,0.0,1.0,1,2,1,random,2023-01-05 08:07:35
1540.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 08:07:40
1545.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 08:07:45
1550.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 08:07:50
1555.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 08:07:55
