selected_date,entropy_weight,allocation_id,zone_id,workload,workload_share,workers,worker_share
2023-01-13,0.1,A001,Z01,0.0,0.0,0,0.0
2023-01-13,0.1,A001,Z02,19.0,0.03822937625754527,1,0.125
2023-01-13,0.1,A001,Z03,373.0,0.7505030181086519,5,0.625
2023-01-13,0.1,A001,Z04,105.0,0.2112676056338028,2,0.25
2023-01-13,0.25,A001,Z01,0.0,0.0,0,0.0
2023-01-13,0.25,A001,Z02,19.0,0.03822937625754527,1,0.125
2023-01-13,0.25,A001,Z03,373.0,0.7505030181086519,5,0.625
2023-01-13,0.25,A001,Z04,105.0,0.2112676056338028,2,0.25
2023-01-13,0.5,A001,Z01,0.0,0.0,0,0.0
2023-01-13,0.5,A001,Z02,19.0,0.03822937625754527,1,0.125
2023-01-13,0.5,A001,Z03,373.0,0.7505030181086519,5,0.625
2023-01-13,0.5,A001,Z04,105.0,0.2112676056338028,2,0.25
2023-01-13,0.75,A001,Z01,0.0,0.0,0,0.0
2023-01-13,0.75,A001,Z02,19.0,0.03822937625754527,1,0.125
2023-01-13,0.75,A001,Z03,373.0,0.7505030181086519,5,0.625
2023-01-13,0.75,A001,Z04,105.0,0.2112676056338028,2,0.25
2023-01-13,1.0,A001,Z01,0.0,0.0,0,0.0
2023-01-13,1.0,A001,Z02,19.0,0.03822937625754527,1,0.125
2023-01-13,1.0,A001,Z03,373.0,0.7505030181086519,5,0.625
2023-01-13,1.0,A001,Z04,105.0,0.2112676056338028,2,0.25
2023-01-13,2.0,A002,Z01,0.0,0.0,0,0.0
2023-01-13,2.0,A002,Z02,19.0,0.03822937625754527,1,0.125
2023-01-13,2.0,A002,Z03,373.0,0.7505030181086519,4,0.5
2023-01-13,2.0,A002,Z04,105.0,0.2112676056338028,3,0.375
2023-01-13,4.0,A003,Z01,0.0,0.0,0,0.0
2023-01-13,4.0,A003,Z02,19.0,0.03822937625754527,2,0.25
2023-01-13,4.0,A003,Z03,373.0,0.7505030181086519,3,0.375
2023-01-13,4.0,A003,Z04,105.0,0.2112676056338028,3,0.375
2023-01-13,8.0,A003,Z01,0.0,0.0,0,0.0
2023-01-13,8.0,A003,Z02,19.0,0.03822937625754527,2,0.25
2023-01-13,8.0,A003,Z03,373.0,0.7505030181086519,3,0.375
2023-01-13,8.0,A003,Z04,105.0,0.2112676056338028,3,0.375
2023-01-16,0.0,A001,Z01,0.0,0.0,0,0.0
2023-01-16,0.0,A001,Z02,79.0,0.14157706093189965,1,0.14285714285714285
2023-01-16,0.0,A001,Z03,450.0,0.8064516129032258,5,0.7142857142857143
2023-01-16,0.0,A001,Z04,29.0,0.05197132616487455,1,0.14285714285714285
2023-01-16,0.05,A001,Z01,0.0,0.0,0,0.0
2023-01-16,0.05,A001,Z02,79.0,0.14157706093189965,1,0.14285714285714285
2023-01-16,0.05,A001,Z03,450.0,0.8064516129032258,5,0.7142857142857143
2023-01-16,0.05,A001,Z04,29.0,0.05197132616487455,1,0.14285714285714285
2023-01-16,0.1,A001,Z01,0.0,0.0,0,0.0
2023-01-16,0.1,A001,Z02,79.0,0.14157706093189965,1,0.14285714285714285
2023-01-16,0.1,A001,Z03,450.0,0.8064516129032258,5,0.7142857142857143
2023-01-16,0.1,A001,Z04,29.0,0.05197132616487455,1,0.14285714285714285
2023-01-16,0.25,A001,Z01,0.0,0.0,0,0.0
2023-01-16,0.25,A001,Z02,79.0,0.14157706093189965,1,0.14285714285714285
2023-01-16,0.25,A001,Z03,450.0,0.8064516129032258,5,0.7142857142857143
2023-01-16,0.25,A001,Z04,29.0,0.05197132616487455,1,0.14285714285714285
2023-01-16,0.5,A001,Z01,0.0,0.0,0,0.0
2023-01-16,0.5,A001,Z02,79.0,0.14157706093189965,1,0.14285714285714285
2023-01-16,0.5,A001,Z03,450.0,0.8064516129032258,5,0.7142857142857143
2023-01-16,0.5,A001,Z04,29.0,0.05197132616487455,1,0.14285714285714285
2023-01-16,0.75,A002,Z01,0.0,0.0,0,0.0
2023-01-16,0.75,A002,Z02,79.0,0.14157706093189965,2,0.2857142857142857
2023-01-16,0.75,A002,Z03,450.0,0.8064516129032258,4,0.5714285714285714
2023-01-16,0.75,A002,Z04,29.0,0.05197132616487455,1,0.14285714285714285
2023-01-16,1.0,A002,Z01,0.0,0.0,0,0.0
2023-01-16,1.0,A002,Z02,79.0,0.14157706093189965,2,0.2857142857142857
2023-01-16,1.0,A002,Z03,450.0,0.8064516129032258,4,0.5714285714285714
2023-01-16,1.0,A002,Z04,29.0,0.05197132616487455,1,0.14285714285714285
2023-01-16,2.0,A002,Z01,0.0,0.0,0,0.0
2023-01-16,2.0,A002,Z02,79.0,0.14157706093189965,2,0.2857142857142857
2023-01-16,2.0,A002,Z03,450.0,0.8064516129032258,4,0.5714285714285714
2023-01-16,2.0,A002,Z04,29.0,0.05197132616487455,1,0.14285714285714285
2023-01-16,4.0,A003,Z01,0.0,0.0,0,0.0
2023-01-16,4.0,A003,Z02,79.0,0.14157706093189965,2,0.2857142857142857
2023-01-16,4.0,A003,Z03,450.0,0.8064516129032258,3,0.42857142857142855
2023-01-16,4.0,A003,Z04,29.0,0.05197132616487455,2,0.2857142857142857
2023-01-16,8.0,A003,Z01,0.0,0.0,0,0.0
2023-01-16,8.0,A003,Z02,79.0,0.14157706093189965,2,0.2857142857142857
2023-01-16,8.0,A003,Z03,450.0,0.8064516129032258,3,0.42857142857142855
2023-01-16,8.0,A003,Z04,29.0,0.05197132616487455,2,0.2857142857142857
2023-01-17,0.0,A001,Z01,0.0,0.0,0,0.0
2023-01-17,0.0,A001,Z02,22.0,0.0280970625798212,1,0.14285714285714285
2023-01-17,0.0,A001,Z03,709.0,0.9054916985951469,5,0.7142857142857143
