node_id,x_m,y_m,location_count,pick_tasks,pick_units,task_share,unit_share
AISLE:x=3.020000:y=14.710000,3.02,14.71,4,0,0.0,0.0,0.0
AISLE:x=3.020000:y=2.410000,3.02,2.41,8,0,0.0,0.0,0.0
AISLE:x=3.020000:y=3.310000,3.02,3.31,8,0,0.0,0.0,0.0
AISLE:x=3.020000:y=4.210000,3.02,4.21,8,0,0.0,0.0,0.0
AISLE:x=3.020000:y=5.110000,3.02,5.11,8,0,0.0,0.0,0.0
AISLE:x=3.020000:y=6.310000,3.02,6.31,8,0,0.0,0.0,0.0
AISLE:x=3.020000:y=7.510000,3.02,7.51,8,4,4.0,0.002004008016032064,0.002004008016032064
AISLE:x=3.020000:y=8.410000,3.02,8.41,8,23,23.0,0.011523046092184368,0.011523046092184368
AISLE:x=3.020000:y=9.310000,3.02,9.31,8,11,11.0,0.005511022044088177,0.005511022044088177
AISLE:x=3.180000:y=-0.290000,3.18,-0.29,2,0,0.0,0.0,0.0
AISLE:x=3.180000:y=0.610000,3.18,0.61,4,0,0.0,0.0,0.0
AISLE:x=3.180000:y=1.510000,3.18,1.51,4,0,0.0,0.0,0.0
AISLE:x=3.180000:y=10.210000,3.18,10.21,4,18,18.0,0.009018036072144289,0.009018036072144289
AISLE:x=3.180000:y=11.110000,3.18,11.11,4,2,2.0,0.001002004008016032,0.001002004008016032
AISLE:x=3.180000:y=12.010000,3.18,12.01,4,15,15.0,0.00751503006012024,0.00751503006012024
AISLE:x=3.180000:y=12.910000,3.18,12.91,4,2,2.0,0.001002004008016032,0.001002004008016032
AISLE:x=3.180000:y=13.810000,3.18,13.81,4,0,0.0,0.0,0.0
AISLE:x=3.180000:y=14.710000,3.18,14.71,2,1,1.0,0.000501002004008016,0.000501002004008016
AISLE:x=3.180000:y=2.410000,3.18,2.41,4,0,0.0,0.0,0.0
AISLE:x=3.180000:y=3.310000,3.18,3.31,4,0,0.0,0.0,0.0
AISLE:x=3.180000:y=4.210000,3.18,4.21,4,0,0.0,0.0,0.0
