cell_id,cell_type,interval_count,unique_workers,worker_seconds,move_worker_seconds,pick_worker_seconds,wait_worker_seconds,occupied_seconds,congested_seconds,max_concurrent_workers
EDGE:AISLE:x=14.376400:y=19.075400<->AISLE:x=14.833600:y=19.075400,edge,39,6,14.858999999983752,14.858999999983752,0.0,0.0,14.858999999983752,0.0,1
EDGE:AISLE:x=14.376400:y=21.361400<->AISLE:x=14.833600:y=21.361400,edge,36,7,13.715999999986735,13.715999999986735,0.0,0.0,13.715999999986735,0.0,1
EDGE:AISLE:x=14.376400:y=23.647400<->AISLE:x=14.833600:y=23.647400,edge,6,4,2.285999999997557,2.285999999997557,0.0,0.0,2.285999999997557,0.0,1
EDGE:AISLE:x=14.376400:y=25.933400<->AISLE:x=14.833600:y=25.933400,edge,13,6,4.952999999995711,4.952999999995711,0.0,0.0,4.952999999995711,0.0,1
EDGE:AISLE:x=14.376400:y=28.219400<->AISLE:x=14.833600:y=28.219400,edge,81,8,30.860999999974013,30.860999999974013,0.0,0.0,30.860999999974013,0.0,1
EDGE:AISLE:x=14.376400:y=30.505400<->AISLE:x=14.833600:y=30.505400,edge,12,3,4.57199999999807,4.57199999999807,0.0,0.0,4.57199999999807,0.0,1
EDGE:AISLE:x=14.376400:y=32.791400<->AISLE:x=14.833600:y=32.791400,edge,13,6,4.952999999995711,4.952999999995711,0.0,0.0,4.952999999995711,0.0,1
EDGE:AISLE:x=14.376400:y=35.077400<->AISLE:x=14.833600:y=35.077400,edge,13,5,4.952999999997417,4.952999999997417,0.0,0.0,4.952999999997417,0.0,1
EDGE:AISLE:x=14.376400:y=37.363400<->AISLE:x=14.833600:y=37.363400,edge,3,2,1.142999999998807,1.142999999998807,0.0,0.0,1.142999999998807,0.0,1
EDGE:AISLE:x=14.833600:y=16.027400<->AISLE:x=15.240000:y=16.027400,edge,8,3,2.709333333333289,2.709333333333289,0.0,0.0,2.709333333333289,0.0,1
EDGE:AISLE:x=14.833600:y=19.075400<->AISLE:x=15.240000:y=19.075400,edge,39,6,13.20799999999656,13.20799999999656,0.0,0.0,13.20799999999656,0.0,1
EDGE:AISLE:x=14.833600:y=21.361400<->AISLE:x=15.240000:y=21.361400,edge,32,7,10.837333333330776,10.837333333330776,0.0,0.0,10.837333333330776,0.0,1
EDGE:AISLE:x=14.833600:y=23.647400<->AISLE:x=15.240000:y=23.647400,edge,6,4,2.0319999999994707,2.0319999999994707,0.0,0.0,2.0319999999994707,0.0,1
EDGE:AISLE:x=14.833600:y=25.933400<->AISLE:x=15.240000:y=25.933400,edge,11,6,3.725333333332401,3.725333333332401,0.0,0.0,3.725333333332401,0.0,1
EDGE:AISLE:x=14.833600:y=28.219400<->AISLE:x=15.240000:y=28.219400,edge,85,8,28.78666666666092,28.78666666666092,0.0,0.0,28.78666666666092,0.0,1
EDGE:AISLE:x=14.833600:y=30.505400<->AISLE:x=15.240000:y=30.505400,edge,12,3,4.063999999999538,4.063999999999538,0.0,0.0,4.063999999999538,0.0,1
EDGE:AISLE:x=14.833600:y=32.791400<->AISLE:x=15.240000:y=32.791400,edge,11,6,3.725333333332628,3.725333333332628,0.0,0.0,3.725333333332628,0.0,1
EDGE:AISLE:x=14.833600:y=35.077400<->AISLE:x=15.240000:y=35.077400,edge,11,5,3.7253333333329834,3.7253333333329834,0.0,0.0,3.7253333333329834,0.0,1
EDGE:AISLE:x=14.833600:y=37.363400<->AISLE:x=15.240000:y=37.363400,edge,3,2,1.0159999999997495,1.0159999999997495,0.0,0.0,1.0159999999997495,0.0,1
EDGE:AISLE:x=15.240000:y=16.027400<->AISLE:x=15.646400:y=16.027400,edge,6,2,2.031999999999977,2.031999999999977,0.0,0.0,2.031999999999977,0.0,1
EDGE:AISLE:x=15.240000:y=19.075400<->AISLE:x=15.646400:y=19.075400,edge,33,6,11.175999999997316,11.175999999997316,0.0,0.0,11.175999999997316,0.0,1
EDGE:AISLE:x=15.240000:y=21.361400<->AISLE:x=15.646400:y=21.361400,edge,28,7,9.482666666664386,9.482666666664386,0.0,0.0,9.482666666664386,0.0,1
